序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3
146,Boston University,MS,"MS in Computer Information Systems, Database Management & Business Intelligence Concentration",Metropolitan College,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
147,Boston University,MS,"MS in Computer Science, Data Analytics Concentration",Metropolitan College,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,A capstone course is required.,No additional graduation requirement.,No additional graduation requirement
148,"Ohio State University, Columbus",MS,Industrial and Systems Engineering（Data Analytics and Optimization）,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found.,Oral defense of thesis required.,Not found
149,"Ohio State University, Columbus",MS,Industrial and Systems Engineering（Data Analytics and Optimization）,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Not found
150,"Ohio State University, Columbus",MS,Industrial and Systems Engineering（Data Analytics and Optimization）,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Not found
151,"University of Maryland, College Park",MPS,Data Science ,计算机、数学与自然科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
152,"Texas A&M University, College Station",MS,"Master of Science in Industrial Engineering, Data Science",工程学院,Research thesis option available.,SUCCESS,Research thesis option available.,Research thesis option available.,Thesis option available.,Research thesis is an option.
153,"Texas A&M University, College Station",MS,"Master of Science in Industrial Engineering, Data Science",工程学院,Thesis option available.,SUCCESS,Thesis option available.,Thesis option available.,Thesis option available.,Thesis option available.
154,"Texas A&M University, College Station",MS,MS IN STATISTICAL DATA SCIENCE,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=329, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=329)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2376, traffic_type=None) automatic_function_calling_history=[] parsed=None",Capstone project and statistical consulting experience required.,"A thesis or special problem is required, along with a statistical consulting experience.",Thesis option requires a research thesis.
155,"Texas A&M University, College Station",MS,Master of Science in Data Science,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
156,Virginia Tech,MS,ata Analysis + Applied Statistics,理学院,A final project and examination are required.,SUCCESS,A final project and examination are required.,A final project and examination are required.,A final project and examination are required.,A final project and examination are required.
157,Lehigh University,MS,"M.S., Data Science",工程与应用科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,"The browse results show the ""Program Requirements"" section.
It states: ""In addition to the core requirements, students are required to complete a minimum of 9 credits from a list of approved electives on the program website, at least 6 of which must be at the 400 level, and can optionally include up to six credits of thesis work.""

This indicates that ""thesis work"" is an optional component for up to six credits, meaning it's not a mandatory non-coursework requirement. There is no mention of capstone, comprehensive exam, internship, practicum, fieldwork, research-lab hours, professional portfolio, residency, or clinical experience as mandatory requirements.

Therefore, the program has no additional non-coursework graduation requirements. No specific capstone, comprehensive exam, or mandatory thesis is listed. The thesis is an *optional* part of the elective credits, not a standalone graduation requirement.

Based on the information, there are no additional graduation requirements beyond coursework.
No additional graduation requirement.","The browse results show the program requirements. The second URL explicitly states: ""Approved Electives... can optionally include up to six credits of thesis work."" This indicates that a thesis is an *optional* component of the elective credits, not a mandatory additional requirement. There is no mention of a capstone, comprehensive exam, internship, or other non-coursework requirements beyond the elective credits.

Therefore, the only non-coursework option mentioned is an optional thesis.
Thesis option available."
